flow_no,inter_pkt_arrival,duration,connection_status,land,no_of_wrong_frags,no_of_urgent,src_port,dst_port,src_ip,dst_ip,src_mac,dst_mac,src_bytes,dst_bytes,minfpktl,meanfpktl,maxfpktl,stdfpktl,minbpktl,meanbpktl,maxbpktl,stdbpktl,minfiat,meanfiat,maxfiat,stdfiat,minbiat,meanbiat,maxbiat,stdbiat,protocol,fpackets,bpackets
120,1.0173951333333333,15.260927000,0,0,15,0,50760,443,192.168.43.243,172.217.19.163,0c:8b:fd:18:40:2f,38:0b:40:bd:bd:4d,3329071642,2238569787,66,139.22222222222223,653,1273887.111111111,66,200.66666666666666,646,1052121.3333333333,0.0,1.5464782222222222,13.917496,13.122207634481427,1.9e-05,0.2237705,0.521807,1.1337756363033944,eth:ethertype:ip:tcp,9,6
121,0.1868868888888889,3.363964000,0,0,18,0,34982,443,192.168.43.243,157.240.7.26,0c:8b:fd:18:40:2f,38:0b:40:bd:bd:4d,0,1102211300,54,114.5,583,1086377.3,66,462.375,1454,10817493.375,0.0,0.10292200000000003,1.021303,0.9755748443474751,0.001842,0.291843,0.995392,2.081561064398364,eth:ethertype:ip:tcp,10,8
122,0.0016096221628838447,1.205607000,0,0,749,0,51080,443,192.168.18.19,74.125.11.231,0c:8b:fd:18:40:2f,48:57:02:1c:e3:28,351420209,1840865055,66,70.58265582655827,1060,674673752.1192417,66,2559.8105263157895,8442,941227646139.3094,0.0,0.0003852926829268293,0.125184,0.14193756625898243,0.0,0.002798510526315791,0.114462,1.0606913996015184,eth:ethertype:ip:tcp,369,380
123,5.22435751111111,235.096088000,0,0,45,0,48042,443,192.168.18.19,151.101.193.69,0c:8b:fd:18:40:2f,48:57:02:1c:e3:28,2874689954,2048807083,66,132.45833333333334,704,9307628.375000002,66,290.4761904761905,2866,34146290.19047618,0.0,3.4364779166666675,15.85514,79.2830448187183,5.2e-05,7.267648476190477,30.443558,145.91763880602107,eth:ethertype:ip:tcp,24,21
124,4.289339465116279,184.441597000,0,0,43,0,39918,443,192.168.18.19,172.217.19.182,0c:8b:fd:18:40:2f,48:57:02:1c:e3:28,2503158685,3117966844,66,116.56521739130434,647,6594367.65217391,66,155.55,649,8767614.95,0.0,2.665392391304348,15.447201,58.92564281352224,4e-06,6.1568786,30.758896,117.62125442665744,eth:ethertype:ip:tcp,23,20
125,0.46908266666666676,4.221744000,0,0,9,0,37036,443,192.168.43.243,172.217.19.10,0c:8b:fd:18:40:2f,38:0b:40:bd:bd:4d,1736291245,1281139662,66,168.16666666666666,663,755985.5,74,74.0,74,21904.0,0.0,0.16814483333333333,1.008331,0.920868999899642,0.576158,1.0709583333333332,1.402186,2.1713832899134444,eth:ethertype:ip:tcp,6,3
126,0.7046532272727272,15.502371000,0,0,22,0,51956,443,192.168.43.243,52.202.39.168,0c:8b:fd:18:40:2f,38:0b:40:bd:bd:4d,3466310916,2469704870,66,121.25,583,1799450.9166666667,66,627.4,1454,32278346.2,0.0,1.07792725,12.933593,12.38430772642467,4e-06,0.2567244,0.950556,2.3349928026811564,eth:ethertype:ip:tcp,12,10
127,1.1968002941176472,40.691210000,0,0,34,0,57808,443,192.168.18.19,2.18.0.42,0c:8b:fd:18:40:2f,48:57:02:1c:e3:28,2812684908,2303123904,66,153.73684210526315,993,7710187.157894738,66,450.0,2866,40236770.66666666,0.0,0.0009105263157894738,0.009563,0.016574672161558973,3.4e-05,2.711594,30.434466,38.74956228161811,eth:ethertype:ip:tcp,19,15
128,0.36315536363636364,3.994709000,0,0,11,0,56500,443,192.168.43.243,157.240.7.35,0c:8b:fd:18:40:2f,38:0b:40:bd:bd:4d,2961912760,1321067290,66,154.83333333333334,583,636012.1666666667,66,348.4,1454,2247718.4,0.0,0.16964483333333336,1.017511,0.9291176752267893,2.6e-05,0.5953679999999999,1.417833,2.4438579533100526,eth:ethertype:ip:tcp,6,5
129,0.053013021978022,19.296740000,0,0,364,0,44144,443,192.168.43.243,45.116.234.16,0c:8b:fd:18:40:2f,38:0b:40:bd:bd:4d,0,1365895139,54,128.38095238095238,1454,459734142.0000006,54,1524.3061224489795,3267,88352040949.75523,0.0,0.07238077380952382,9.306993,12.108984808728543,0.0,0.03641209183673469,0.820999,7.101058532509198,eth:ethertype:ip:tcp,168,196
130,1.46747075,29.349415000,0,0,20,0,53450,443,192.168.43.243,92.122.250.119,0c:8b:fd:18:40:2f,38:0b:40:bd:bd:4d,0,2974480737,54,119.45454545454545,583,1448662.0,66,87.22222222222223,218,489124.4444444445,0.0,0.15530481818181818,1.065044,1.5901189551491253,3e-05,3.071229111111111,20.767386,25.378116373363202,eth:ethertype:ip:tcp,11,9
131,1.467621483870968,45.496266000,0,0,31,0,42394,443,192.168.18.19,104.244.37.20,0c:8b:fd:18:40:2f,48:57:02:1c:e3:28,853736202,1518944686,66,392.63157894736844,1466,50240802.73684211,66,611.6666666666666,2866,45909104.66666667,0.0,1.7945987894736843,25.346834,32.8247697904398,3.4e-05,0.9499074166666666,9.981432,10.798734447432535,eth:ethertype:ip:tcp,19,12
132,1.7664149444444446,31.795469000,0,0,18,0,47882,443,192.168.18.19,188.184.93.89,0c:8b:fd:18:40:2f,48:57:02:1c:e3:28,2975201092,820401755,66,131.1,583,1416248.9,66,912.875,2866,42188113.875,0.0,3.0112315,30.109376,28.566740530094425,0.000383,0.21039425,0.960277,1.5019565512840245,eth:ethertype:ip:tcp,10,8
